#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   1.05394  0.01640 -0.01991  0.59983  0.000085  0.000039  0.007269     2.191
   1.05762  0.01971 -0.02152  0.46396  0.000093  0.000042  0.005046     2.203
   1.06169  0.02346 -0.02312  0.34015  0.000101  0.000046  0.003423     2.198
   1.06625  0.02772 -0.02473  0.22759  0.000112  0.000050  0.002017     2.224
   1.07138  0.03259 -0.02635  0.12357  0.000119  0.000054  0.001032     2.214
   1.07721  0.03819 -0.02799  0.02830  0.000140  0.000063  0.000193     2.230
   1.08388  0.04464 -0.02964 -0.06039  0.000140  0.000063  0.000435     2.230
   1.09152  0.05210 -0.03130 -0.14196  0.000164  0.000072  0.000835     2.264
   1.10027  0.06070 -0.03295 -0.21731  0.000174  0.000078  0.001240     2.230
   1.11023  0.07053 -0.03455 -0.28625  0.000196  0.000086  0.001384     2.281
   1.12140  0.08159 -0.03607 -0.34792  0.000211  0.000094  0.001592     2.260
   1.13370  0.09381 -0.03747 -0.40321  0.000233  0.000102  0.001623     2.288
   1.14696  0.10702 -0.03870 -0.45125  0.000253  0.000111  0.001681     2.288
   1.16100  0.12102 -0.03975 -0.49312  0.000275  0.000119  0.001670     2.300
   1.17563  0.13563 -0.04061 -0.52936  0.000295  0.000128  0.001658     2.306
   1.19072  0.15070 -0.04129 -0.56077  0.000317  0.000137  0.001625     2.314
   1.20615  0.16612 -0.04180 -0.58808  0.000337  0.000145  0.001591     2.321
   1.22184  0.18181 -0.04215 -0.61198  0.000358  0.000154  0.001550     2.328
   1.23775  0.19771 -0.04236 -0.63286  0.000378  0.000162  0.001505     2.335
   1.25383  0.21379 -0.04244 -0.65144  0.000398  0.000170  0.001467     2.340
   1.27005  0.23002 -0.04240 -0.66809  0.000417  0.000178  0.001429     2.344
   1.28640  0.24636 -0.04227 -0.68293  0.000437  0.000186  0.001388     2.350
   1.30286  0.26282 -0.04204 -0.69640  0.000455  0.000193  0.001353     2.354
   1.31941  0.27936 -0.04174 -0.70859  0.000474  0.000201  0.001317     2.359
   1.33604  0.29599 -0.04137 -0.71990  0.000491  0.000208  0.001289     2.360
   1.35275  0.31270 -0.04093 -0.73023  0.000508  0.000215  0.001258     2.364
   1.36952  0.32946 -0.04045 -0.74002  0.000524  0.000222  0.001236     2.364
   1.38635  0.34629 -0.03992 -0.74908  0.000540  0.000228  0.001211     2.367
   1.40323  0.36315 -0.03936 -0.75777  0.000555  0.000234  0.001194     2.366
   1.42013  0.38005 -0.03876 -0.76627  0.000567  0.000240  0.001184     2.363
   1.43704  0.39694 -0.03814 -0.77484  0.000578  0.000245  0.001184     2.356
   1.45389  0.41378 -0.03750 -0.78338  0.000587  0.000250  0.001186     2.349
   1.47071  0.43058 -0.03681 -0.79087  0.000602  0.000255  0.001160     2.356
   1.48754  0.44740 -0.03606 -0.79774  0.000617  0.000261  0.001134     2.364
   1.50439  0.46423 -0.03528 -0.80397  0.000632  0.000267  0.001106     2.372
   1.52126  0.48108 -0.03446 -0.81010  0.000645  0.000272  0.001091     2.373
   1.53816  0.49795 -0.03360 -0.81565  0.000660  0.000277  0.001067     2.379
   1.55508  0.51485 -0.03271 -0.82102  0.000673  0.000283  0.001051     2.381
   1.57202  0.53177 -0.03179 -0.82624  0.000686  0.000288  0.001038     2.381
   1.58899  0.54871 -0.03085 -0.83102  0.000700  0.000293  0.001018     2.386
   1.60597  0.56567 -0.02988 -0.83599  0.000710  0.000298  0.001013     2.383
   1.62298  0.58264 -0.02889 -0.84052  0.000723  0.000303  0.000998     2.385
   1.64000  0.59963 -0.02788 -0.84518  0.000733  0.000308  0.000992     2.383
   1.65703  0.61664 -0.02685 -0.84952  0.000744  0.000312  0.000980     2.384
   1.67408  0.63366 -0.02581 -0.85401  0.000754  0.000317  0.000977     2.381
   1.69114  0.65068 -0.02475 -0.85812  0.000765  0.000321  0.000964     2.383
   1.70821  0.66772 -0.02369 -0.86256  0.000773  0.000325  0.000965     2.378
   1.72529  0.68477 -0.02261 -0.86685  0.000781  0.000329  0.000962     2.375
   1.74238  0.70182 -0.02152 -0.87101  0.000790  0.000333  0.000956     2.374
   1.75948  0.71888 -0.02043 -0.87537  0.000797  0.000336  0.000958     2.369
   1.77658  0.73594 -0.01932 -0.87953  0.000805  0.000340  0.000954     2.368
   1.79368  0.75301 -0.01821 -0.88401  0.000809  0.000343  0.000959     2.361
   1.81078  0.77008 -0.01709 -0.88825  0.000817  0.000346  0.000958     2.359
   1.82789  0.78715 -0.01597 -0.89279  0.000821  0.000349  0.000964     2.353
   1.84499  0.80422 -0.01484 -0.89749  0.000824  0.000351  0.000973     2.345
   1.86210  0.82128 -0.01370 -0.90197  0.000829  0.000354  0.000973     2.343
   1.87919  0.83834 -0.01256 -0.90682  0.000831  0.000356  0.000984     2.335
   1.89627  0.85538 -0.01141 -0.91195  0.000831  0.000357  0.000998     2.325
   1.91334  0.87240 -0.01026 -0.91698  0.000833  0.000359  0.001007     2.320
   1.93036  0.88939 -0.00910 -0.92281  0.000829  0.000360  0.001033     2.305
   1.94729  0.90628 -0.00793 -0.92829  0.000829  0.000361  0.001044     2.299
   1.96405  0.92300 -0.00677 -0.93468  0.000822  0.000360  0.001076     2.282
   1.98046  0.93937 -0.00562 -0.94150  0.000814  0.000359  0.001112     2.265
   1.99621  0.95508 -0.00451 -0.94876  0.000803  0.000358  0.001156     2.246
   2.01084  0.96967 -0.00347 -0.95683  0.000787  0.000355  0.001218     2.220
   2.02384  0.98263 -0.00253 -0.96616  0.000762  0.000349  0.001312     2.183
   2.03492  0.99369 -0.00172 -0.97437  0.000745  0.000345  0.001382     2.160
   2.04125  1.00000 -0.00126 -0.99982  0.000626  0.000316  0.002060     1.983
   2.04125  1.00010 -0.00001  0.99982  0.052807  0.010061  0.000000     5.249
   2.04757  1.00641 -0.00039  0.99827  0.052336  0.010174  0.000000     5.144
   2.05499  1.01382 -0.00072  0.99543  0.051595  0.010380  0.000000     4.971
   2.06368  1.02251 -0.00102  0.99191  0.050625  0.010636  0.000000     4.760
   2.07387  1.03270 -0.00130  0.98746  0.049385  0.010957  0.000000     4.507
   2.08583  1.04465 -0.00153  0.98172  0.047824  0.011370  0.000000     4.206
   2.09984  1.05866 -0.00169  0.97404  0.045888  0.011921  0.000000     3.849
   2.11627  1.07509 -0.00176  0.96311  0.043544  0.012704  0.000000     3.427
   2.13554  1.09436 -0.00170  0.94804  0.040755  0.013782  0.000000     2.957
   2.15813  1.11695 -0.00146  0.93912  0.037484  0.014418  0.000000     2.600
   2.18462  1.14343 -0.00098  0.93325  0.033981  0.014825  0.000000     2.292
   2.21567  1.17448 -0.00017  0.93092  0.030455  0.014979  0.000000     2.033
   2.25209  1.21087  0.00107  0.93208  0.027128  0.014906  0.000000     1.820
   2.29479  1.25353  0.00287  0.93604  0.024178  0.014673  0.000000     1.648
   2.34485  1.30353  0.00538  0.94172  0.021693  0.014359  0.000000     1.511
   2.40355  1.36213  0.00882  0.94809  0.019671  0.014029  0.000000     1.402
   2.47237  1.43080  0.01341  0.95441  0.018057  0.013721  0.000000     1.316
   2.55307  1.51127  0.01947  0.96028  0.016777  0.013448  0.000000     1.248
   2.64769  1.60556  0.02735  0.96556  0.015765  0.013213  0.000000     1.193
   2.75864  1.71605  0.03748  0.97024  0.014965  0.013013  0.000000     1.150
   2.88872  1.84549  0.05039  0.97433  0.014338  0.012844  0.000000     1.116
   3.04125  1.99714  0.06668  0.97917  0.013787  0.012649  0.000000     1.090
