#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00126  0.99982  0.049690  0.009746 -0.000004     5.099
   0.00632  0.99381  0.00254  1.00066  0.048524  0.009688 -0.000004     5.009
   0.01731  0.98304  0.00473  1.00209  0.046455  0.009593 -0.000004     4.843
   0.03011  0.97049  0.00724  1.00371  0.044031  0.009490 -0.000004     4.640
   0.04441  0.95646  0.01001  1.00544  0.041348  0.009383 -0.000003     4.407
   0.05976  0.94138  0.01291  1.00718  0.038521  0.009282 -0.000002     4.150
   0.07573  0.92569  0.01588  1.00873  0.035654  0.009197  0.000000     3.877
   0.09203  0.90967  0.01884  1.01030  0.032823  0.009117  0.000007     3.600
   0.10849  0.89346  0.02176  1.00934  0.030126  0.009163  0.000037     3.288
   0.12504  0.87717  0.02463  1.01040  0.027522  0.009112  0.000088     3.021
   0.14163  0.86082  0.02745  1.01555  0.025033  0.008886  0.000153     2.817
   0.15824  0.84444  0.03020  1.02254  0.022733  0.008602  0.000227     2.643
   0.17486  0.82804  0.03289  1.03123  0.020627  0.008274  0.000312     2.493
   0.19149  0.81162  0.03552  1.04149  0.018718  0.007917  0.000411     2.364
   0.20812  0.79519  0.03809  1.05307  0.017011  0.007546  0.000522     2.254
   0.22474  0.77875  0.04059  1.06581  0.015486  0.007171  0.000644     2.160
   0.24137  0.76230  0.04302  1.07944  0.014138  0.006801  0.000774     2.079
   0.25800  0.74585  0.04539  1.09376  0.012948  0.006443  0.000911     2.009
   0.27462  0.72938  0.04769  1.10859  0.011897  0.006101  0.001053     1.950
   0.29124  0.71292  0.04993  1.12374  0.010973  0.005779  0.001197     1.899
   0.30785  0.69645  0.05210  1.13910  0.010156  0.005475  0.001343     1.855
   0.32446  0.67998  0.05420  1.15449  0.009437  0.005193  0.001489     1.817
   0.34105  0.66350  0.05624  1.17001  0.008791  0.004927  0.001637     1.784
   0.35764  0.64703  0.05820  1.18540  0.008220  0.004681  0.001782     1.756
   0.37422  0.63056  0.06009  1.20085  0.007703  0.004450  0.001928     1.731
   0.39079  0.61410  0.06191  1.21623  0.007237  0.004234  0.002074     1.709
   0.40734  0.59764  0.06366  1.23158  0.006813  0.004031  0.002219     1.690
   0.42388  0.58118  0.06533  1.24689  0.006425  0.003840  0.002364     1.673
   0.44040  0.56474  0.06692  1.26229  0.006067  0.003660  0.002511     1.658
   0.45690  0.54830  0.06843  1.27770  0.005736  0.003489  0.002659     1.644
   0.47339  0.53188  0.06985  1.29325  0.005426  0.003326  0.002808     1.632
   0.48985  0.51547  0.07120  1.30886  0.005138  0.003171  0.002960     1.620
   0.50630  0.49907  0.07245  1.32477  0.004865  0.003022  0.003117     1.610
   0.52271  0.48270  0.07362  1.34078  0.004609  0.002880  0.003276     1.600
   0.53910  0.46635  0.07469  1.35724  0.004363  0.002742  0.003443     1.591
   0.55545  0.45002  0.07567  1.37393  0.004130  0.002610  0.003615     1.583
   0.57177  0.43373  0.07654  1.39114  0.003906  0.002481  0.003798     1.574
   0.58802  0.41749  0.07732  1.40903  0.003688  0.002355  0.003995     1.566
   0.60420  0.40134  0.07798  1.42784  0.003473  0.002231  0.004213     1.557
   0.62025  0.38529  0.07852  1.44727  0.003266  0.002110  0.004446     1.548
   0.63621  0.36934  0.07891  1.46609  0.003081  0.002000  0.004668     1.541
   0.65210  0.35345  0.07914  1.48491  0.002908  0.001895  0.004890     1.535
   0.66793  0.33762  0.07922  1.50374  0.002747  0.001795  0.005113     1.530
   0.68371  0.32184  0.07915  1.52288  0.002593  0.001700  0.005341     1.526
   0.69943  0.30612  0.07891  1.54218  0.002449  0.001608  0.005571     1.523
   0.71510  0.29046  0.07850  1.56192  0.002310  0.001520  0.005810     1.520
   0.73070  0.27487  0.07791  1.58219  0.002177  0.001435  0.006057     1.518
   0.74623  0.25935  0.07715  1.60287  0.002051  0.001352  0.006311     1.516
   0.76169  0.24392  0.07620  1.62440  0.001927  0.001272  0.006580     1.515
   0.77706  0.22859  0.07506  1.64662  0.001809  0.001194  0.006861     1.515
   0.79234  0.21338  0.07373  1.66977  0.001694  0.001118  0.007157     1.515
   0.80750  0.19829  0.07219  1.69410  0.001581  0.001044  0.007477     1.515
   0.82254  0.18335  0.07044  1.71970  0.001472  0.000971  0.007821     1.516
   0.83743  0.16859  0.06848  1.74698  0.001365  0.000900  0.008201     1.517
   0.85213  0.15405  0.06629  1.77595  0.001260  0.000830  0.008617     1.518
   0.86661  0.13978  0.06389  1.80726  0.001156  0.000761  0.009092     1.519
   0.88079  0.12584  0.06127  1.84113  0.001055  0.000694  0.009640     1.520
   0.89460  0.11233  0.05844  1.87791  0.000955  0.000628  0.010278     1.519
   0.90791  0.09937  0.05542  1.91813  0.000856  0.000564  0.011046     1.518
   0.92057  0.08711  0.05226  1.96192  0.000761  0.000503  0.011973     1.514
   0.93242  0.07571  0.04901  2.00937  0.000670  0.000445  0.013103     1.507
   0.94332  0.06532  0.04573  2.06057  0.000584  0.000390  0.014485     1.497
   0.95315  0.05602  0.04251  2.11459  0.000505  0.000340  0.016137     1.485
   0.96191  0.04785  0.03938  2.17140  0.000433  0.000295  0.018092     1.471
   0.96962  0.04073  0.03640  2.23012  0.000370  0.000254  0.020300     1.457
   0.97639  0.03458  0.03357  2.28978  0.000316  0.000218  0.022604     1.449
   0.98235  0.02925  0.03090  2.34962  0.000273  0.000187  0.024504     1.456
   0.98761  0.02465  0.02837  2.40785  0.000244  0.000161  0.024471     1.511
   0.99228  0.02064  0.02596  2.46441  0.000240  0.000140  0.018933     1.715
   0.99646  0.01715  0.02365  2.54396  0.000295  0.000119  0.006407     2.472
   1.00023  0.01410  0.02143  2.78573  0.000438  0.000066 -0.001632     6.614
   1.00366  0.01144  0.01929  2.81769  0.000399  0.000060 -0.001886     6.606
   1.00679  0.00910  0.01719  2.84180  0.000316  0.000057 -0.002138     5.565
   1.00968  0.00708  0.01514  2.87629  0.000233  0.000053 -0.001634     4.422
   1.01235  0.00532  0.01312  2.92512  0.000169  0.000048  0.002347     3.551
   1.01485  0.00383  0.01112  2.98516  0.000129  0.000042  0.009235     3.059
   1.01719  0.00259  0.00913  3.03768  0.000104  0.000037  0.017009     2.794
   1.01940  0.00160  0.00716  3.06911  0.000086  0.000033  0.024990     2.628
   1.02149  0.00085  0.00521  3.07020  0.000074  0.000029  0.033225     2.511
   1.02348  0.00034  0.00329  3.03338  0.000065  0.000027  0.040546     2.425
   1.02538  0.00006  0.00140  2.95576  0.000059  0.000025  0.045597     2.371
   1.02721  0.00001 -0.00042  2.84487  0.000055  0.000024  0.048796     2.332
   1.02906  0.00017 -0.00227  2.69727  0.000052  0.000023  0.050712     2.291
   1.03098  0.00057 -0.00415  2.50692  0.000050  0.000022  0.049994     2.259
   1.03298  0.00123 -0.00604  2.28162  0.000049  0.000022  0.047293     2.225
   1.03507  0.00216 -0.00791  2.03362  0.000051  0.000023  0.041300     2.212
   1.03727  0.00337 -0.00974  1.78286  0.000052  0.000024  0.035408     2.191
   1.03959  0.00484 -0.01154  1.53818  0.000056  0.000026  0.028469     2.190
   1.04205  0.00657 -0.01328  1.31244  0.000060  0.000028  0.022791     2.181
   1.04469  0.00858 -0.01499  1.10470  0.000065  0.000030  0.017512     2.183
   1.04752  0.01087 -0.01666  0.91862  0.000071  0.000032  0.013375     2.185
   1.05059  0.01347 -0.01829  0.75105  0.000077  0.000035  0.009950     2.189
