#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   1.02348  0.00034  0.00329  1.55172  0.000050  0.000022  0.018724     2.309
   1.02538  0.00006  0.00140  1.43476  0.000047  0.000021  0.018969     2.277
   1.02721  0.00001 -0.00042  1.30087  0.000045  0.000020  0.017944     2.268
   1.02906  0.00017 -0.00227  1.14949  0.000043  0.000019  0.016798     2.243
   1.03098  0.00057 -0.00415  0.97681  0.000043  0.000019  0.014423     2.234
   1.03298  0.00123 -0.00604  0.79372  0.000044  0.000020  0.011741     2.219
   1.03507  0.00216 -0.00791  0.60727  0.000045  0.000021  0.008636     2.212
   1.03727  0.00337 -0.00974  0.43188  0.000048  0.000022  0.005731     2.223
   1.03959  0.00484 -0.01154  0.26801  0.000051  0.000023  0.003382     2.204
   1.04205  0.00657 -0.01328  0.12454  0.000058  0.000026  0.001351     2.230
   1.04469  0.00858 -0.01499 -0.00322  0.000058  0.000026  0.000035     2.230
   1.04752  0.01087 -0.01666 -0.11457  0.000068  0.000031  0.001060     2.231
   1.05059  0.01347 -0.01829 -0.21140  0.000074  0.000033  0.001783     2.247
   1.05394  0.01640 -0.01991 -0.29719  0.000081  0.000036  0.002268     2.257
   1.05762  0.01971 -0.02152 -0.37203  0.000089  0.000039  0.002539     2.272
   1.06169  0.02346 -0.02312 -0.43886  0.000098  0.000043  0.002732     2.276
   1.06625  0.02772 -0.02473 -0.49827  0.000108  0.000047  0.002772     2.293
   1.07138  0.03259 -0.02635 -0.55205  0.000118  0.000051  0.002799     2.298
   1.07721  0.03819 -0.02799 -0.60020  0.000130  0.000056  0.002716     2.316
   1.08388  0.04464 -0.02964 -0.64387  0.000142  0.000061  0.002640     2.323
   1.09152  0.05210 -0.03130 -0.68327  0.000157  0.000067  0.002511     2.338
   1.10027  0.06070 -0.03295 -0.71874  0.000172  0.000073  0.002380     2.348
   1.11023  0.07053 -0.03455 -0.75007  0.000190  0.000080  0.002226     2.363
   1.12140  0.08159 -0.03607 -0.77761  0.000208  0.000088  0.002084     2.373
   1.13370  0.09381 -0.03747 -0.80123  0.000228  0.000095  0.001936     2.386
   1.14696  0.10702 -0.03870 -0.82116  0.000248  0.000103  0.001800     2.398
   1.16100  0.12102 -0.03975 -0.83774  0.000269  0.000112  0.001673     2.410
   1.17563  0.13563 -0.04061 -0.85164  0.000290  0.000120  0.001565     2.419
   1.19072  0.15070 -0.04129 -0.86308  0.000311  0.000128  0.001462     2.430
   1.20615  0.16612 -0.04180 -0.87246  0.000333  0.000136  0.001368     2.441
   1.22184  0.18181 -0.04215 -0.88040  0.000353  0.000144  0.001291     2.449
   1.23775  0.19771 -0.04236 -0.88685  0.000374  0.000152  0.001214     2.460
   1.25383  0.21379 -0.04244 -0.89237  0.000394  0.000160  0.001152     2.466
   1.27005  0.23002 -0.04240 -0.89696  0.000414  0.000167  0.001092     2.475
   1.28640  0.24636 -0.04227 -0.90080  0.000434  0.000175  0.001038     2.482
   1.30286  0.26282 -0.04204 -0.90411  0.000453  0.000182  0.000991     2.488
   1.31941  0.27936 -0.04174 -0.90693  0.000472  0.000189  0.000948     2.495
   1.33604  0.29599 -0.04137 -0.90946  0.000490  0.000196  0.000912     2.498
   1.35275  0.31270 -0.04093 -0.91162  0.000508  0.000203  0.000877     2.503
   1.36952  0.32946 -0.04045 -0.91372  0.000525  0.000210  0.000851     2.504
   1.38635  0.34629 -0.03992 -0.91554  0.000542  0.000216  0.000823     2.507
   1.40323  0.36315 -0.03936 -0.91744  0.000557  0.000222  0.000804     2.506
   1.42013  0.38005 -0.03876 -0.91950  0.000570  0.000228  0.000791     2.500
   1.43704  0.39694 -0.03814 -0.92201  0.000580  0.000233  0.000791     2.488
   1.45389  0.41378 -0.03750 -0.92485  0.000588  0.000238  0.000793     2.474
   1.47071  0.43058 -0.03681 -0.92677  0.000603  0.000243  0.000770     2.481
   1.48754  0.44740 -0.03606 -0.92817  0.000620  0.000249  0.000741     2.492
   1.50439  0.46423 -0.03528 -0.92926  0.000637  0.000255  0.000713     2.503
   1.52126  0.48108 -0.03446 -0.93020  0.000654  0.000260  0.000690     2.512
   1.53816  0.49795 -0.03360 -0.93082  0.000671  0.000266  0.000665     2.523
   1.55508  0.51485 -0.03271 -0.93132  0.000688  0.000272  0.000643     2.531
   1.57202  0.53177 -0.03179 -0.93178  0.000704  0.000277  0.000625     2.537
   1.58899  0.54871 -0.03085 -0.93197  0.000721  0.000283  0.000604     2.546
   1.60597  0.56567 -0.02988 -0.93228  0.000735  0.000289  0.000590     2.549
   1.62298  0.58264 -0.02889 -0.93235  0.000752  0.000294  0.000573     2.556
   1.64000  0.59963 -0.02788 -0.93248  0.000766  0.000299  0.000560     2.559
   1.65703  0.61664 -0.02685 -0.93252  0.000781  0.000305  0.000547     2.564
   1.67408  0.63366 -0.02581 -0.93254  0.000796  0.000310  0.000535     2.567
   1.69114  0.65068 -0.02475 -0.93239  0.000812  0.000315  0.000521     2.573
   1.70821  0.66772 -0.02369 -0.93240  0.000825  0.000321  0.000512     2.574
   1.72529  0.68477 -0.02261 -0.93230  0.000839  0.000326  0.000502     2.577
   1.74238  0.70182 -0.02152 -0.93215  0.000854  0.000331  0.000491     2.580
   1.75948  0.71888 -0.02043 -0.93200  0.000867  0.000336  0.000482     2.583
   1.77658  0.73594 -0.01932 -0.93171  0.000882  0.000341  0.000471     2.588
   1.79368  0.75301 -0.01821 -0.93153  0.000896  0.000346  0.000463     2.590
   1.81078  0.77008 -0.01709 -0.93112  0.000912  0.000351  0.000451     2.597
   1.82789  0.78715 -0.01597 -0.93075  0.000926  0.000356  0.000441     2.601
   1.84499  0.80422 -0.01484 -0.93034  0.000941  0.000361  0.000432     2.606
   1.86210  0.82128 -0.01370 -0.92967  0.000959  0.000367  0.000418     2.617
   1.87919  0.83834 -0.01256 -0.92888  0.000978  0.000372  0.000404     2.628
   1.89627  0.85538 -0.01141 -0.92800  0.000997  0.000378  0.000391     2.641
   1.91334  0.87240 -0.01026 -0.92673  0.001022  0.000384  0.000371     2.663
   1.93036  0.88939 -0.00910 -0.92540  0.001047  0.000390  0.000352     2.684
   1.94729  0.90628 -0.00793 -0.92330  0.001084  0.000398  0.000322     2.728
   1.96405  0.92300 -0.00677 -0.92090  0.001127  0.000405  0.000289     2.780
   1.98046  0.93937 -0.00562 -0.91781  0.001186  0.000415  0.000245     2.861
   1.99621  0.95508 -0.00451 -0.91403  0.001271  0.000425  0.000189     2.990
   2.01084  0.96967 -0.00347 -0.91002  0.001388  0.000436  0.000124     3.181
   2.02384  0.98263 -0.00253 -0.90652  0.001538  0.000446  0.000059     3.448
   2.03492  0.99369 -0.00172 -0.90407  0.001719  0.000453  0.000005     3.796
   2.04125  1.00000 -0.00126 -0.90317  0.001737  0.000456  0.000003     3.812
   2.04125  1.00010 -0.00001  0.90317  0.014547  0.005767  0.000000     2.523
   2.04757  1.00641 -0.00040  0.89054  0.013815  0.006133  0.000000     2.253
   2.05499  1.01382 -0.00078  0.89409  0.012839  0.006032  0.000000     2.128
   2.06368  1.02250 -0.00116  0.89872  0.011877  0.005907  0.000000     2.011
   2.07387  1.03269 -0.00156  0.90438  0.010953  0.005763  0.000000     1.901
   2.08583  1.04463 -0.00196  0.91089  0.010084  0.005606  0.000000     1.799
   2.09984  1.05864 -0.00236  0.91798  0.009288  0.005446  0.000000     1.706
   2.11627  1.07507 -0.00275  0.92534  0.008572  0.005290  0.000000     1.621
   2.13554  1.09433 -0.00312  0.93267  0.007938  0.005143  0.000000     1.543
   2.15813  1.11692 -0.00344  0.93975  0.007380  0.005009  0.000000     1.474
   2.18462  1.14341 -0.00368  0.94644  0.006893  0.004888  0.000000     1.410
   2.21567  1.17446 -0.00381  0.95267  0.006468  0.004782  0.000000     1.353
   2.25209  1.21088 -0.00377  0.95842  0.006099  0.004687  0.000000     1.301
   2.29479  1.25357 -0.00351  0.96367  0.005779  0.004604  0.000000     1.255
   2.34485  1.30363 -0.00294  0.96846  0.005503  0.004532  0.000000     1.214
   2.40355  1.36232 -0.00197  0.97278  0.005267  0.004468  0.000000     1.179
   2.47237  1.43113 -0.00047  0.97667  0.005067  0.004412  0.000000     1.148
   2.55307  1.51180  0.00171  0.98013  0.004899  0.004364  0.000000     1.123
   2.64769  1.60638  0.00474  0.98321  0.004760  0.004321  0.000000     1.101
   2.75864  1.71724  0.00886  0.98590  0.004646  0.004285  0.000000     1.084
   2.88872  1.84721  0.01432  0.98823  0.004553  0.004254  0.000000     1.070
   3.04125  1.99957  0.02145  0.99045  0.004476  0.004225  0.000000     1.059
